#,Title,Scores,Average,Decision,Author Category,Submission Category
1,Machine Learning-Based Detection of Business Email Compromise: A Comparative Analysis of Gradient Boosting Techniques,3(4),3,ACCEPT,Student - Undergraduate,Full-Oral
2,Machine Learning Diagnosis of Peripheral Arterial Disease from CT-Angiography (CTA) Images,2(4),2,ACCEPT POSTER,Student - Undergraduate,Poster
3,AI-Enabled Construction of Aligned Collagen Using Two-Photon Techniques,1(3),1,ACCEPT,Student - Undergraduate,Poster
4,AI and Automation in Sports,2(4),2,ACCEPT,Student - Undergraduate,Full-Oral
5,"Social Media Misinformation: Trust, Perception, & Public Awareness in the Age of AI",2(4),2,ACCEPT,Student - Undergraduate,Full-Oral
6,FORGETTING BY DESIGN: TESTING THE EFFECTIVENESS OF MACHINE UNLEARNING IN RIGHT TO BE FORGOTTEN DATA DELETION,,0,,Student - Graduate,Full-Oral
7,SQL Injection Prevention Techniques,1(4),1,ACCEPT,Student - Graduate,Full-Oral
8,The Immersive Campus Experience: Designing Interactive Physical-Digital Systems for Recruitment and UX Research,-1(4),-1,REJECT,Student - Undergraduate,Full-Oral
9,Adversarial Patch: Autonomous Vehicles,"0(4),1(4)",0.5,,Student - Undergraduate,Full-Oral
10,Beyond the Box Score: How Analytics Shape Modern Basketball,"0(4),0(5)",0,REJECT,Student - Undergraduate,Full-Oral
11,PeerConnect: Optimizing Peer Tutoring with Predictive Analytics and Intelligent Matching,0(4),0,accept poster?,Student - Undergraduate,Poster
12,EXPLORING CALCULUS CONCEPTS WITH MAPLE,,0,,Faculty,Full-Oral
13,An Optimized Artificial Intelligence Powered iOS Mobile App for Weed Identification,3(4),3,ACCEPT,Faculty,Full-Oral
14,Deep Learning in Network Traffic Analysis Using Synthetic Data for Privacy Protection and Cyber Attack Mitigation,2(4),2,ACCEPT POSTER,Student - Undergraduate,Poster
15,Semantic Search for Healthcare Patient Data using Sentence Transformers and ChromaDB,1(4),1,ACCEPT POSTER,Student - Undergraduate,Poster
16,Deep Learning for Skin Lesion Detection: A CNN Approach,2(4),2,ACCEPT POSTER,Student - Undergraduate,Poster
17,Cardiovascular Disease Prediction Using Machine Learning,0(4),0,accept poster?,Student - Undergraduate,Poster
18,An Accuracy Comparison of Linear and Quadratic Programming Approaches for Classifying Breast Cancer Cells as Malignant or Benign,-2(3),-2,REJECT,Student - Undergraduate,Full-Oral
19,Gradpath - Academic Advising platform,-1(4),-1,REJECT,Student - Undergraduate,Full-Oral
20,A Hands-On Laboratory Approach to Supporting Student Learning in Computer Vision Education,2(4),2,ACCEPT,Student - Graduate,Full-Oral
21,XAI-DRL based intrusion detection system for Connected Autonomous Vehicles,1(4),1,ACCEPT POSTER,Student - Undergraduate,Poster
22,Robots for Outreach,2(4),2,ACCEPT,Student - Undergraduate,Full-Oral
23,Investigating Motion-Focused Video Frame Interpolation: Efficiency vs. Fidelity,3(3),3,ACCEPT,Student - Graduate,Full-Oral
24,Enhancing Computer Science Education through AI-Driven Scaffolding,2(3),2,ACCEPT,Faculty,Full-Oral
25,Robust Noise-Resilient Feature Extract and 3D-CNN classification for Hyperspectral imagery,,0,,Faculty,Full-Oral
26,Enhancing Undergraduate Research Recruitment through NLP-Driven Application Matching,0(4),0,accept poster?,Student - Undergraduate,Poster
27,Some experimental results for fingerprint image processing,2(3),2,ACCEPT,Faculty,Full-Oral
28,Enabling safe Beyond Visual Line of Sight Drone Operations of Sight Drone Operations Through AI-Powered Object Detection,2(4),2,ACCEPT,Student - Undergraduate,Full-Oral
29,Decal Management System,-1(4),-1,REJECT Poster,Student - Undergraduate,Poster
30,Assessing Video LLM Performance in Detecting Child Safety Risks,2(4),2,ACCEPT POSTER,Student - Undergraduate,Poster
31,Understanding Object Detection Vulnerabilities in the Age of YOLO v11,1(4),1,ACCEPT POSTER,Student - Undergraduate,Poster
32,Limitless: The future of Personalized AI power sports advertisements,0(4),0,accept poster?,Student - Undergraduate,Poster
